History	Actual	Forecast	Previous
Jun 3, 2026	122	118	105 
May 6, 2026	109	118	61 
Apr 1, 2026	62	41	66 
Mar 4, 2026	63	50	11 
Feb 4, 2026	22	46	37 
Jan 7, 2026	41	49	-29 
Dec 3, 2025	-32	5	47 
Nov 5, 2025	42	32	-29 
Oct 1, 2025	-32	52	-3 
Sep 4, 2025	54	73	106 
Jul 30, 2025	104	77	-23 
Jul 2, 2025	-33	99	29 
Jun 4, 2025	37	111	60 
Apr 30, 2025	62	114	147 
Apr 2, 2025	155	118	84 
Mar 5, 2025	77	141	186 
Feb 5, 2025	183	148	176 
Jan 8, 2025	122	139	146
Dec 4, 2024	146	152	184 
Oct 30, 2024	233	110	159 
Oct 2, 2024	143	124	103 
Sep 5, 2024	99	144	111 
Jul 31, 2024	122	147	155 
Jul 3, 2024	150	163	157 
Jun 5, 2024	152	173	188 
May 1, 2024	192	179	208 
Apr 3, 2024	184	148	155 
Mar 6, 2024	140	149	111 
Jan 31, 2024	107	148	158 
Jan 4, 2024	164	120	101 
Dec 6, 2023	103	131	106 
Nov 1, 2023	113	149	89
Oct 4, 2023	89	154	180 
Aug 30, 2023	177	194	371 
Aug 2, 2023	324	191	455 
Jul 6, 2023	497	226	267 
Jun 1, 2023	278	173	291 
May 3, 2023	296	148	142 
Apr 5, 2023	145	208	261 
Mar 8, 2023	242	197	119 
Feb 1, 2023	106	176	253 
Jan 5, 2023	235	152	182 
Nov 30, 2022	127	196	239
Nov 2, 2022	239	178	192 
Oct 5, 2022	208	200	185 
Aug 31, 2022	132	300	128
Jun 2, 2022	128	295	202 
May 4, 2022	247	382	479 
Mar 30, 2022	455	455	486 
Mar 2, 2022	475	378	509 
Feb 2, 2022	-301	185	776

